# Disk parameters
# M_d/e10M_sun    4.9607
#    Disk M/L     1.0000
# Bulge included
# M_b/e10M_sun    1.3733
#   Bulge M/L     1.0000
# Gas included
# M_g/e10M_sun    1.6318
# Einasto halo parameters
#  M_*/e10M_sun   45.2147
#     r_s/1~kpc   19.3347
# concentration    5.2665
#   v_200/1km/s   71.2790
# M_200/e10Msun   11.4988
# alpha    2.7500
#+++++++++++++++
#   Rkpc      V_uh       V_b      V_ch     V_tot     r2rho       V_disk     V_gas   V_bulge
#
    64.000    88.093    72.866    88.169   114.382   0.290E-33    57.665    33.463    29.402
    64.250    87.922    72.720    87.997   114.157   0.123E-33    57.552    33.390    29.345
    64.500    87.751    72.575    87.826   113.932   0.522E-34    57.439    33.319    29.288
    64.750    87.582    72.430    87.656   113.709   0.221E-34    57.326    33.248    29.231
    65.000    87.413    72.287    87.487   113.487   0.933E-35    57.215    33.177    29.175
    65.250    87.245    72.144    87.319   113.267   0.393E-35    57.104    33.107    29.119
    65.500    87.079    72.002    87.152   113.048   0.166E-35    56.993    33.037    29.063
    65.750    86.913    71.861    86.986   112.830   0.698E-36    56.884    32.967    29.008
    66.000    86.748    71.721    86.821   112.613   0.294E-36    56.775    32.898    28.953
    66.250    86.584    71.582    86.657   112.398   0.123E-36    56.666    32.830    28.898
    66.500    86.421    71.443    86.494   112.184   0.519E-37    56.558    32.762    28.844
    66.750    86.259    71.306    86.332   111.972   0.218E-37    56.451    32.694    28.790
    67.000    86.098    71.169    86.171   111.761   0.917E-38    56.345    32.627    28.736
    67.250    85.938    71.033    86.011   111.551   0.385E-38    56.239    32.560    28.683
    67.500    85.779    70.898    85.851   111.342   0.162E-38    56.133    32.494    28.630
    67.750    85.621    70.763    85.693   111.134   0.679E-39    56.029    32.428    28.577
    68.000    85.463    70.629    85.535   110.927   0.285E-39    55.925    32.362    28.524
    68.250    85.306    70.496    85.378   110.721   0.119E-39    55.821    32.297    28.472
    68.500    85.150    70.364    85.222   110.517   0.494E-40    55.718    32.232    28.420
    68.750    84.996    70.233    85.067   110.314   0.205E-40    55.616    32.168    28.368
    69.000    84.841    70.102    84.913   110.111   0.840E-41    55.514    32.104    28.317
    69.250    84.688    69.972    84.760   109.910   0.344E-41    55.413    32.040    28.266
    69.500    84.536    69.843    84.607   109.711   0.139E-41    55.312    31.977    28.215
    69.750    84.384    69.715    84.456   109.512   0.559E-42    55.212    31.915    28.164
    70.000    84.233    69.587    84.305   109.315   0.221E-42    55.112    31.852    28.114
    70.250    84.083    69.460    84.155   109.118   0.869E-43    55.013    31.790    28.064
    70.500    83.934    69.333    84.006   108.922   0.336E-43    54.915    31.729    28.014
    70.750    83.786    69.208    83.857   108.728   0.126E-43    54.817    31.668    27.965
    71.000    83.638    69.083    83.710   108.535   0.561E-44    54.719    31.607    27.915
    71.250    83.491    68.959    83.563   108.342   0.140E-44    54.622    31.546    27.866
    71.500    83.345    68.835    83.417   108.151   0.000E+00    54.526    31.486    27.818
    71.750    83.200    68.712    83.272   107.961   0.000E+00    54.430    31.427    27.769
